year,estimated,observed,urban.bias
816,NA,NA,NA
817,NA,NA,NA
818,NA,NA,NA
819,NA,NA,NA
820,NA,NA,NA
821,NA,NA,NA
822,NA,NA,NA
823,NA,NA,NA
824,NA,NA,NA
825,NA,NA,NA
826,NA,NA,NA
827,NA,NA,NA
828,NA,NA,NA
829,NA,NA,NA
830,NA,NA,NA
831,NA,NA,NA
832,NA,NA,NA
833,NA,NA,NA
834,NA,NA,NA
835,NA,NA,NA
836,NA,NA,NA
837,NA,NA,NA
838,NA,NA,NA
839,NA,NA,NA
840,NA,NA,NA
841,NA,NA,NA
842,NA,NA,NA
843,NA,NA,NA
844,NA,NA,NA
845,NA,NA,NA
846,NA,NA,NA
847,NA,NA,NA
848,NA,NA,NA
849,NA,NA,NA
850,NA,NA,NA
851,NA,NA,NA
852,NA,NA,NA
853,NA,NA,NA
854,5.87,NA,5.87
855,5.99,NA,5.99
856,6.12,NA,6.12
857,6.25,NA,6.25
858,6.37,NA,6.37
859,6.5,NA,6.5
860,6.62,NA,6.62
861,6.75,NA,6.75
862,6.88,NA,6.88
863,7,NA,7
864,7.13,NA,7.13
865,7.25,NA,7.25
866,7.38,NA,7.38
867,NA,NA,NA
868,NA,NA,NA
869,NA,NA,NA
870,NA,NA,NA
871,NA,NA,NA
872,NA,NA,NA
873,NA,NA,NA
874,NA,NA,NA
875,NA,NA,NA
876,6.63,NA,6.63
877,6.51,NA,6.51
878,6.44,NA,6.44
879,6.42,NA,6.42
880,6.44,NA,6.44
881,6.44,NA,6.44
882,NA,NA,NA
883,NA,NA,NA
884,NA,NA,NA
885,NA,NA,NA
886,NA,NA,NA
887,NA,NA,NA
888,NA,NA,NA
889,NA,NA,NA
890,NA,NA,NA
891,5.6,NA,5.6
892,5.71,NA,5.71
893,5.82,NA,5.82
894,5.95,NA,5.95
895,6.08,NA,6.08
896,6.22,NA,6.22
897,6.4,NA,6.4
898,6.23,NA,6.23
899,6.3,NA,6.3
900,6.36,NA,6.36
901,6.43,NA,6.43
902,6.65,NA,6.65
903,6.74,NA,6.74
904,6.83,NA,6.83
905,6.88,NA,6.88
906,6.98,NA,6.98
907,7.11,NA,7.11
908,6.93,NA,6.93
909,6.98,NA,6.98
910,7.08,NA,7.08
911,7.2,NA,7.2
912,7.35,NA,7.35
913,7.36,NA,7.36
914,7.37,NA,7.37
915,7.45,NA,7.45
916,7.48,NA,7.48
917,7.5,NA,7.5
918,7.4,NA,7.4
919,7.37,NA,7.37
920,7.34,NA,7.34
921,7.32,NA,7.32
922,7.29,NA,7.29
923,7.26,NA,7.26
924,7.21,NA,7.21
925,7.19,NA,7.19
926,6.85,NA,6.85
927,6.78,NA,6.78
928,6.61,NA,6.61
929,6.92,NA,6.92
930,6.77,NA,6.77
931,6.63,NA,6.63
932,6.48,NA,6.48
933,6.33,NA,6.33
934,6.4,NA,6.4
935,6.8,NA,6.8
936,6.79,NA,6.79
937,6.77,NA,6.77
938,6.76,NA,6.76
939,6.84,NA,6.84
940,7.4,NA,7.4
941,7.45,NA,7.45
942,6.82,NA,6.82
943,6.68,NA,6.68
944,6.78,NA,6.78
945,6.81,NA,6.81
946,6.47,NA,6.47
947,6.58,NA,6.58
948,6.72,NA,6.72
949,6.49,NA,6.49
950,6.71,NA,6.71
951,6.83,NA,6.83
952,6.94,NA,6.94
953,7.02,NA,7.02
954,7.1,NA,7.1
955,7.17,NA,7.17
956,7.25,NA,7.25
957,7.56,NA,7.56
958,7.54,NA,7.54
959,7.47,NA,7.47
960,7.43,NA,7.43
961,7.39,NA,7.39
962,7.23,NA,7.23
963,7.16,NA,7.16
964,7.1,NA,7.1
965,7.2,NA,7.2
966,7.08,NA,7.08
967,6.97,NA,6.97
968,6.85,NA,6.85
969,6.74,NA,6.74
970,7.07,NA,7.07
971,6.94,NA,6.94
972,6.93,NA,6.93
973,6.96,NA,6.96
974,7.14,NA,7.14
975,7.07,NA,7.07
976,7.06,NA,7.06
977,6.84,NA,6.84
978,6.82,NA,6.82
979,6.73,NA,6.73
980,6.74,NA,6.74
981,6.76,NA,6.76
982,6.75,NA,6.75
983,6.79,NA,6.79
984,6.84,NA,6.84
985,6.48,NA,6.48
986,6.52,NA,6.52
987,6.57,NA,6.57
988,6.64,NA,6.64
989,5.91,NA,5.91
990,5.98,NA,5.98
991,6.2,NA,6.2
992,6.16,NA,6.16
993,6.57,NA,6.57
994,6.48,NA,6.48
995,6.74,NA,6.74
996,6.6,NA,6.6
997,6.46,NA,6.46
998,6.32,NA,6.32
999,6.08,NA,6.08
1000,5.92,NA,5.92
1001,5.64,NA,5.64
1002,5.79,NA,5.79
1003,5.67,NA,5.67
1004,5.8,NA,5.8
1005,5.53,NA,5.53
1006,5.53,NA,5.53
1007,5.29,NA,5.29
1008,5.32,NA,5.32
1009,5.35,NA,5.35
1010,5.38,NA,5.38
1011,5.42,NA,5.42
1012,5.45,NA,5.45
1013,5.48,NA,5.48
1014,5.14,NA,5.14
1015,5.1,NA,5.1
1016,5.41,NA,5.41
1017,5.3,NA,5.3
1018,5.41,NA,5.41
1019,5.62,NA,5.62
1020,5.89,NA,5.89
1021,5.92,NA,5.92
1022,5.73,NA,5.73
1023,5.66,NA,5.66
1024,5.74,NA,5.74
1025,5.82,NA,5.82
1026,5.87,NA,5.87
1027,5.94,NA,5.94
1028,6.02,NA,6.02
1029,6.09,NA,6.09
1030,6.26,NA,6.26
1031,6.26,NA,6.26
1032,6.39,NA,6.39
1033,6.04,NA,6.04
1034,6.32,NA,6.32
1035,6.11,NA,6.11
1036,6.1,NA,6.1
1037,6.08,NA,6.08
1038,6.07,NA,6.07
1039,6.06,NA,6.06
1040,6.04,NA,6.04
1041,6.03,NA,6.03
1042,6.02,NA,6.02
1043,6.01,NA,6.01
1044,5.99,NA,5.99
1045,6.01,NA,6.01
1046,6.63,NA,6.63
1047,6.53,NA,6.53
1048,6.68,NA,6.68
1049,6.67,NA,6.67
1050,6.45,NA,6.45
1051,6.34,NA,6.34
1052,6.29,NA,6.29
1053,6.34,NA,6.34
1054,6.38,NA,6.38
1055,6.43,NA,6.43
1056,6.01,NA,6.01
1057,5.95,NA,5.95
1058,6.02,NA,6.02
1059,6.02,NA,6.02
1060,6.03,NA,6.03
1061,6.03,NA,6.03
1062,5.96,NA,5.96
1063,5.98,NA,5.98
1064,6.22,NA,6.22
1065,6.36,NA,6.36
1066,6.53,NA,6.53
1067,6.48,NA,6.48
1068,6.65,NA,6.65
1069,6.35,NA,6.35
1070,6.28,NA,6.28
1071,6.21,NA,6.21
1072,6.14,NA,6.14
1073,6.19,NA,6.19
1074,6.14,NA,6.14
1075,6.15,NA,6.15
1076,6.33,NA,6.33
1077,5.73,NA,5.73
1078,5.75,NA,5.75
1079,5.77,NA,5.77
1080,5.87,NA,5.87
1081,6.04,NA,6.04
1082,5.93,NA,5.93
1083,6.02,NA,6.02
1084,6.07,NA,6.07
1085,6.15,NA,6.15
1086,6.23,NA,6.23
1087,6.45,NA,6.45
1088,6.49,NA,6.49
1089,6.37,NA,6.37
1090,6.31,NA,6.31
1091,6.28,NA,6.28
1092,6.26,NA,6.26
1093,6.24,NA,6.24
1094,6.21,NA,6.21
1095,6.19,NA,6.19
1096,6.02,NA,6.02
1097,6.03,NA,6.03
1098,5.99,NA,5.99
1099,5.9,NA,5.9
1100,6.25,NA,6.25
1101,6.2,NA,6.2
1102,6.12,NA,6.12
1103,6.16,NA,6.16
1104,6.16,NA,6.16
1105,6.16,NA,6.16
1106,6.18,NA,6.18
1107,6.13,NA,6.13
1108,5.99,NA,5.99
1109,6.17,NA,6.17
1110,6.06,NA,6.06
1111,5.97,NA,5.97
1112,5.77,NA,5.77
1113,5.7,NA,5.7
1114,5.59,NA,5.59
1115,5.54,NA,5.54
1116,5.58,NA,5.58
1117,5.6,NA,5.6
1118,5.54,NA,5.54
1119,5.56,NA,5.56
1120,5.58,NA,5.58
1121,5.74,NA,5.74
1122,5.74,NA,5.74
1123,5.72,NA,5.72
1124,5.61,NA,5.61
1125,5.66,NA,5.66
1126,5.58,NA,5.58
1127,5.67,NA,5.67
1128,5.61,NA,5.61
1129,5.56,NA,5.56
1130,5.48,NA,5.48
1131,5.45,NA,5.45
1132,5.42,NA,5.42
1133,5.42,NA,5.42
1134,5.35,NA,5.35
1135,5.32,NA,5.32
1136,5.28,NA,5.28
1137,5.25,NA,5.25
1138,5.23,NA,5.23
1139,5.67,NA,5.67
1140,5.61,NA,5.61
1141,6.11,NA,6.11
1142,6.18,NA,6.18
1143,6.25,NA,6.25
1144,6.26,NA,6.26
1145,6.3,NA,6.3
1146,5.97,NA,5.97
1147,5.87,NA,5.87
1148,5.73,NA,5.73
1149,5.84,NA,5.84
1150,5.77,NA,5.77
1151,5.93,NA,5.93
1152,5.87,NA,5.87
1153,5.92,NA,5.92
1154,5.83,NA,5.83
1155,5.89,NA,5.89
1156,5.82,NA,5.82
1157,6.04,NA,6.04
1158,5.92,NA,5.92
1159,6.14,NA,6.14
1160,6.02,NA,6.02
1161,6.27,NA,6.27
1162,6.11,NA,6.11
1163,5.95,NA,5.95
1164,5.88,NA,5.88
1165,5.88,NA,5.88
1166,5.8,NA,5.8
1167,5.95,NA,5.95
1168,5.95,NA,5.95
1169,5.82,NA,5.82
1170,5.59,NA,5.59
1171,5.52,NA,5.52
1172,5.29,NA,5.29
1173,5.29,NA,5.29
1174,5.28,NA,5.28
1175,5.17,NA,5.17
1176,5.19,NA,5.19
1177,5.24,NA,5.24
1178,5.23,NA,5.23
1179,5.1,NA,5.1
1180,5,NA,5
1181,4.96,NA,4.96
1182,4.83,NA,4.83
1183,4.85,NA,4.85
1184,4.86,NA,4.86
1185,4.98,NA,4.98
1186,5.26,NA,5.26
1187,5.28,NA,5.28
1188,5.24,NA,5.24
1189,5.3,NA,5.3
1190,5.39,NA,5.39
1191,5.48,NA,5.48
1192,5.61,NA,5.61
1193,5.61,NA,5.61
1194,5.61,NA,5.61
1195,5.48,NA,5.48
1196,5.36,NA,5.36
1197,5.52,NA,5.52
1198,5.44,NA,5.44
1199,5.38,NA,5.38
1200,5.46,NA,5.46
1201,5.65,NA,5.65
1202,5.7,NA,5.7
1203,5.66,NA,5.66
1204,5.7,NA,5.7
1205,5.69,NA,5.69
1206,5.84,NA,5.84
1207,5.83,NA,5.83
1208,5.76,NA,5.76
1209,5.79,NA,5.79
1210,6.01,NA,6.01
1211,6,NA,6
1212,5.92,NA,5.92
1213,5.89,NA,5.89
1214,6.01,NA,6.01
1215,6.1,NA,6.1
1216,6.15,NA,6.15
1217,6.18,NA,6.18
1218,6.18,NA,6.18
1219,6.2,NA,6.2
1220,6.2,NA,6.2
1221,6.38,NA,6.38
1222,6.45,NA,6.45
1223,6.47,NA,6.47
1224,6.55,NA,6.55
1225,6.51,NA,6.51
1226,6.63,NA,6.63
1227,6.67,NA,6.67
1228,6.66,NA,6.66
1229,6.55,NA,6.55
1230,6.42,NA,6.42
1231,6.56,NA,6.56
1232,6.47,NA,6.47
1233,6.49,NA,6.49
1234,6.41,NA,6.41
1235,6.19,NA,6.19
1236,6.33,NA,6.33
1237,6.25,NA,6.25
1238,6.24,NA,6.24
1239,6.3,NA,6.3
1240,6.25,NA,6.25
1241,6.23,NA,6.23
1242,6.51,NA,6.51
1243,6.6,NA,6.6
1244,6.74,NA,6.74
1245,6.66,NA,6.66
1246,6.64,NA,6.64
1247,6.76,NA,6.76
1248,6.27,NA,6.27
1249,6.33,NA,6.33
1250,6.41,NA,6.41
1251,6.55,NA,6.55
1252,6.09,NA,6.09
1253,6.12,NA,6.12
1254,6.19,NA,6.19
1255,6.24,NA,6.24
1256,6.29,NA,6.29
1257,6.35,NA,6.35
1258,6.4,NA,6.4
1259,6.46,NA,6.46
1260,6.4,NA,6.4
1261,6.47,NA,6.47
1262,6.4,NA,6.4
1263,6.23,NA,6.23
1264,6.29,NA,6.29
1265,6.38,NA,6.38
1266,6.61,NA,6.61
1267,6.56,NA,6.56
1268,6.55,NA,6.55
1269,6.57,NA,6.57
1270,6.71,NA,6.71
1271,6.57,NA,6.57
1272,6.46,NA,6.46
1273,6.27,NA,6.27
1274,6.21,NA,6.21
1275,6.06,NA,6.06
1276,6.02,NA,6.02
1277,5.98,NA,5.98
1278,5.86,NA,5.86
1279,6.15,NA,6.15
1280,6.19,NA,6.19
1281,6.07,NA,6.07
1282,6.05,NA,6.05
1283,6.04,NA,6.04
1284,6.01,NA,6.01
1285,5.93,NA,5.93
1286,6.14,NA,6.14
1287,6.15,NA,6.15
1288,6.26,NA,6.26
1289,6.36,NA,6.36
1290,6.47,NA,6.47
1291,6.56,NA,6.56
1292,6.46,NA,6.46
1293,6.54,NA,6.54
1294,6.65,NA,6.65
1295,6.69,NA,6.69
1296,6.88,NA,6.88
1297,6.86,NA,6.86
1298,6.96,NA,6.96
1299,6.87,NA,6.87
1300,6.56,NA,6.56
1301,6.52,NA,6.52
1302,6.65,NA,6.65
1303,6.8,NA,6.8
1304,6.72,NA,6.72
1305,6.89,NA,6.89
1306,6.88,NA,6.88
1307,6.81,NA,6.81
1308,6.83,NA,6.83
1309,6.82,NA,6.82
1310,6.87,NA,6.87
1311,7.06,NA,7.06
1312,6.9,NA,6.9
1313,6.74,NA,6.74
1314,6.58,NA,6.58
1315,6.46,NA,6.46
1316,6.31,NA,6.31
1317,6.11,NA,6.11
1318,5.93,NA,5.93
1319,5.79,NA,5.79
1320,5.64,NA,5.64
1321,5.5,NA,5.5
1322,5.35,NA,5.35
1323,5.24,NA,5.24
1324,5.07,NA,5.07
1325,4.9,NA,4.9
1326,4.73,NA,4.73
1327,4.88,NA,4.88
1328,4.77,NA,4.77
1329,5.1,NA,5.1
1330,5.03,NA,5.03
1331,5.11,NA,5.11
1332,5.03,NA,5.03
1333,4.93,NA,4.93
1334,4.85,NA,4.85
1335,5.12,NA,5.12
1336,4.99,NA,4.99
1337,4.88,NA,4.88
1338,4.82,NA,4.82
1339,5.09,NA,5.09
1340,4.87,NA,4.87
1341,4.69,NA,4.69
1342,4.67,NA,4.67
1343,4.67,NA,4.67
1344,4.74,NA,4.74
1345,4.89,NA,4.89
1346,4.82,NA,4.82
1347,4.87,NA,4.87
1348,5.16,NA,5.16
1349,5.17,NA,5.17
1350,5.16,NA,5.16
1351,5.15,NA,5.15
1352,5.2,NA,5.2
1353,5.36,NA,5.36
1354,5.52,NA,5.52
1355,5.56,NA,5.56
1356,5.64,NA,5.64
1357,5.72,NA,5.72
1358,5.71,NA,5.71
1359,5.78,NA,5.78
1360,5.71,NA,5.71
1361,5.82,NA,5.82
1362,5.81,NA,5.81
1363,5.85,NA,5.85
1364,5.91,NA,5.91
1365,6.02,NA,6.02
1366,5.89,NA,5.89
1367,6.04,NA,6.04
1368,6.09,NA,6.09
1369,6.18,NA,6.18
1370,6.26,NA,6.26
1371,6.28,NA,6.28
1372,6.46,NA,6.46
1373,6.54,NA,6.54
1374,6.63,NA,6.63
1375,6.67,NA,6.67
1376,6.66,NA,6.66
1377,6.73,NA,6.73
1378,6.76,NA,6.76
1379,6.8,NA,6.8
1380,6.84,NA,6.84
1381,6.83,NA,6.83
1382,6.8,NA,6.8
1383,6.71,NA,6.71
1384,6.66,NA,6.66
1385,6.68,NA,6.68
1386,6.72,NA,6.72
1387,6.69,NA,6.69
1388,6.64,NA,6.64
1389,6.7,NA,6.7
1390,6.7,NA,6.7
1391,6.72,NA,6.72
1392,6.73,NA,6.73
1393,6.57,NA,6.57
1394,6.94,NA,6.94
1395,6.94,NA,6.94
1396,6.95,NA,6.95
1397,7.18,NA,7.18
1398,7.4,NA,7.4
1399,7.43,NA,7.43
1400,7.27,NA,7.27
1401,7.19,NA,7.19
1402,7.21,NA,7.21
1403,7.18,NA,7.18
1404,6.98,NA,6.98
1405,7.07,NA,7.07
1406,7.07,NA,7.07
1407,7.07,NA,7.07
1408,7.07,NA,7.07
1409,7.06,NA,7.06
1410,7.08,NA,7.08
1411,7.1,NA,7.1
1412,7.1,NA,7.1
1413,7.1,NA,7.1
1414,7.21,NA,7.21
1415,7.15,NA,7.15
1416,7.13,NA,7.13
1417,7.1,NA,7.1
1418,7.16,NA,7.16
1419,7.11,NA,7.11
1420,7.14,NA,7.14
1421,7.13,NA,7.13
1422,7.12,NA,7.12
1423,7.14,NA,7.14
1424,7.26,NA,7.26
1425,7.1,NA,7.1
1426,7.08,NA,7.08
1427,7.05,NA,7.05
1428,6.91,NA,6.91
1429,6.72,NA,6.72
1430,6.71,NA,6.71
1431,6.67,NA,6.67
1432,6.56,NA,6.56
1433,6.7,NA,6.7
1434,6.75,NA,6.75
1435,6.75,NA,6.75
1436,6.84,NA,6.84
1437,6.92,NA,6.92
1438,6.94,NA,6.94
1439,6.84,NA,6.84
1440,6.91,NA,6.91
1441,6.83,NA,6.83
1442,6.77,NA,6.77
1443,6.68,NA,6.68
1444,6.57,NA,6.57
1445,6.45,NA,6.45
1446,6.47,NA,6.47
1447,6.43,NA,6.43
1448,6.47,NA,6.47
1449,6.41,NA,6.41
1450,6.56,NA,6.56
1451,6.46,NA,6.46
1452,6.45,NA,6.45
