year,date_doy,month,day,source_type,source,tempC,tempF
801,NA,NA,NA,NA,-,NA,NA
802,NA,NA,NA,NA,-,NA,NA
803,NA,NA,NA,NA,-,NA,NA
804,NA,NA,NA,NA,-,NA,NA
805,NA,NA,NA,NA,-,NA,NA
806,NA,NA,NA,NA,-,NA,NA
807,NA,NA,NA,NA,-,NA,NA
808,NA,NA,NA,NA,-,NA,NA
809,NA,NA,NA,NA,-,NA,NA
810,NA,NA,NA,NA,-,NA,NA
811,NA,NA,NA,NA,-,NA,NA
812,92,Apr,1,2,NIHON-KOKI,9.9,49.82
813,NA,NA,NA,NA,-,NA,NA
814,NA,NA,NA,NA,-,NA,NA
815,105,Apr,15,2,NIHON-KOKI,6,42.8
816,NA,NA,NA,NA,-,NA,NA
817,NA,NA,NA,NA,-,NA,NA
818,NA,NA,NA,NA,-,NA,NA
819,NA,NA,NA,NA,-,NA,NA
820,NA,NA,NA,NA,-,NA,NA
821,NA,NA,NA,NA,-,NA,NA
822,NA,NA,NA,NA,-,NA,NA
823,NA,NA,NA,NA,-,NA,NA
824,NA,NA,NA,NA,-,NA,NA
825,NA,NA,NA,NA,-,NA,NA
826,NA,NA,NA,NA,-,NA,NA
827,NA,NA,NA,NA,-,NA,NA
828,NA,NA,NA,NA,-,NA,NA
829,NA,NA,NA,NA,-,NA,NA
830,NA,NA,NA,NA,-,NA,NA
831,96,Apr,6,2,NIHON-KOKI,8.6,47.48
832,NA,NA,NA,NA,-,NA,NA
833,NA,NA,NA,NA,-,NA,NA
834,NA,NA,NA,NA,-,NA,NA
835,NA,NA,NA,NA,-,NA,NA
836,NA,NA,NA,NA,-,NA,NA
837,NA,NA,NA,NA,-,NA,NA
838,NA,NA,NA,NA,-,NA,NA
839,NA,NA,NA,NA,-,NA,NA
840,NA,NA,NA,NA,-,NA,NA
841,NA,NA,NA,NA,-,NA,NA
842,NA,NA,NA,NA,-,NA,NA
843,NA,NA,NA,NA,-,NA,NA
844,NA,NA,NA,NA,-,NA,NA
845,NA,NA,NA,NA,-,NA,NA
846,NA,NA,NA,NA,-,NA,NA
847,NA,NA,NA,NA,-,NA,NA
848,NA,NA,NA,NA,-,NA,NA
849,NA,NA,NA,NA,-,NA,NA
850,NA,NA,NA,NA,-,NA,NA
851,108,Apr,18,2,MONTOKUTENNO-JITSUROKU,5.2,41.36
852,NA,NA,NA,NA,-,NA,NA
853,104,Apr,14,2,MONTOKUTENNO-JITSUROKU,6.3,43.34
854,NA,NA,NA,NA,-,NA,NA
855,NA,NA,NA,NA,-,NA,NA
856,NA,NA,NA,NA,-,NA,NA
857,NA,NA,NA,NA,-,NA,NA
858,NA,NA,NA,NA,-,NA,NA
859,NA,NA,NA,NA,-,NA,NA
860,NA,NA,NA,NA,-,NA,NA
861,NA,NA,NA,NA,-,NA,NA
862,NA,NA,NA,NA,-,NA,NA
863,NA,NA,NA,NA,-,NA,NA
864,100,Apr,9,2,NIPPON-SANDAI-JITSUROKU,7.4,45.32
865,NA,NA,NA,NA,-,NA,NA
866,106,Apr,16,2,NIPPON-SANDAI-JITSUROKU,5.7,42.26
867,NA,NA,NA,NA,-,NA,NA
868,NA,NA,NA,NA,-,NA,NA
869,95,Apr,5,2,KANKE-BUNSOU,8.9,48.02
870,NA,NA,NA,NA,-,NA,NA
871,NA,NA,NA,NA,-,NA,NA
872,NA,NA,NA,NA,-,NA,NA
873,NA,NA,NA,NA,-,NA,NA
874,NA,NA,NA,NA,-,NA,NA
875,NA,NA,NA,NA,-,NA,NA
876,NA,NA,NA,NA,-,NA,NA
877,NA,NA,NA,NA,-,NA,NA
878,NA,NA,NA,NA,-,NA,NA
879,NA,NA,NA,NA,-,NA,NA
880,NA,NA,NA,NA,-,NA,NA
881,NA,NA,NA,NA,-,NA,NA
882,NA,NA,NA,NA,-,NA,NA
883,NA,NA,NA,NA,-,NA,NA
884,NA,NA,NA,NA,-,NA,NA
885,NA,NA,NA,NA,-,NA,NA
886,NA,NA,NA,NA,-,NA,NA
887,NA,NA,NA,NA,-,NA,NA
888,NA,NA,NA,NA,-,NA,NA
889,104,Apr,14,2,NIPPON-SANDAI-JITSUROKU,6.3,43.34
890,NA,NA,NA,NA,-,NA,NA
891,109,Apr,19,4,NIHONKIRYAKU,4.9,40.82
892,108,Apr,17,3,FUSHIMIIN-GOKIROKKU,5.2,41.36
893,NA,NA,NA,NA,-,NA,NA
894,106,Apr,16,2,KANKE-BUNSOU,5.7,42.26
895,104,Apr,14,4,NIHONKIRYAKU,6.3,43.34
896,104,Apr,13,4,NIPPON-SANDAI-JITSUROKU,6.3,43.34
897,NA,NA,NA,NA,-,NA,NA
898,NA,NA,NA,NA,-,NA,NA
899,NA,NA,NA,NA,-,NA,NA
900,NA,NA,NA,NA,-,NA,NA
901,NA,NA,NA,NA,-,NA,NA
902,102,Apr,12,8,EST-from-WF(NIHONGI-RYAKU),6.9,44.42
903,NA,NA,NA,NA,-,NA,NA
904,NA,NA,NA,NA,-,NA,NA
905,NA,NA,NA,NA,-,NA,NA
906,NA,NA,NA,NA,-,NA,NA
907,NA,NA,NA,NA,-,NA,NA
908,98,Apr,7,8,EST-from-WF(KIMITADA-SHU),8,46.4
909,NA,NA,NA,NA,-,NA,NA
910,NA,NA,NA,NA,-,NA,NA
911,NA,NA,NA,NA,-,NA,NA
912,95,Apr,4,2,SHINGISHIKI,8.9,48.02
913,110,Apr,20,2,SHUI-WAKASHU,4.6,40.28
914,NA,NA,NA,NA,-,NA,NA
915,NA,NA,NA,NA,-,NA,NA
916,NA,NA,NA,NA,-,NA,NA
917,95,Apr,5,2,KINHISHO,8.9,48.02
918,NA,NA,NA,NA,-,NA,NA
919,NA,NA,NA,NA,-,NA,NA
920,NA,NA,NA,NA,-,NA,NA
921,NA,NA,NA,NA,-,NA,NA
922,NA,NA,NA,NA,-,NA,NA
923,104,Apr,14,4,ZOKU-KOKIN-WAKASHU,6.3,43.34
924,NA,NA,NA,NA,-,NA,NA
925,NA,NA,NA,NA,-,NA,NA
926,98,Apr,8,2,NIHONKIRYAKU,8,46.4
927,NA,NA,NA,NA,-,NA,NA
928,NA,NA,NA,NA,-,NA,NA
929,NA,NA,NA,NA,-,NA,NA
930,97,Apr,7,8,EST-from-WF(SHIRYO-SORAN),8.3,46.94
931,NA,NA,NA,NA,-,NA,NA
932,NA,NA,NA,NA,-,NA,NA
933,106,Apr,16,8,EST-from-WF(SHIRYO-SORAN),5.7,42.26
934,NA,NA,NA,NA,-,NA,NA
935,NA,NA,NA,NA,-,NA,NA
936,NA,NA,NA,NA,-,NA,NA
937,NA,NA,NA,NA,-,NA,NA
938,NA,NA,NA,NA,-,NA,NA
939,NA,NA,NA,NA,-,NA,NA
940,NA,NA,NA,NA,-,NA,NA
941,109,Apr,19,2,NIHONKIRYAKU,4.9,40.82
942,NA,NA,NA,NA,-,NA,NA
943,NA,NA,NA,NA,-,NA,NA
944,NA,NA,NA,NA,-,NA,NA
945,NA,NA,NA,NA,-,NA,NA
946,NA,NA,NA,NA,-,NA,NA
947,NA,NA,NA,NA,-,NA,NA
948,NA,NA,NA,NA,-,NA,NA
949,107,Apr,17,2,NIHONKIRYAKU,5.4,41.72
950,95,Apr,5,2,DAINIHON-SHIRYO,8.9,48.02
951,NA,NA,NA,NA,-,NA,NA
952,NA,NA,NA,NA,-,NA,NA
953,NA,NA,NA,NA,-,NA,NA
954,NA,NA,NA,NA,-,NA,NA
955,89,Mar,30,4,SHUISHO,10.8,51.44
956,NA,NA,NA,NA,-,NA,NA
957,112,Apr,22,2,NIHONKIRYAKU,4.1,39.38
958,109,Apr,19,2,NIHONKIRYAKU,4.9,40.82
959,97,Apr,7,2,KYUREKI,8.3,46.94
960,101,Apr,10,2,KYUREKI,7.2,44.96
961,87,Mar,28,2,NIHONKIRYAKU,11.5,52.7
962,NA,NA,NA,NA,-,NA,NA
963,94,Apr,4,2,NIHONKIRYAKU,9.3,48.74
964,NA,NA,NA,NA,-,NA,NA
965,104,Apr,14,2,NIHONKIRYAKU,6.3,43.34
966,98,Apr,8,2,NIHONKIRYAKU,8,46.4
967,103,Apr,13,2,NIHONKIRYAKU,6.6,43.88
968,NA,NA,NA,NA,-,NA,NA
969,98,Apr,8,4,NIHONKIRYAKU,8,46.4
970,NA,NA,NA,NA,-,NA,NA
971,NA,NA,NA,NA,-,NA,NA
972,107,Apr,16,8,EST-from-WF(SHIRYO-SORAN),5.4,41.72
973,NA,NA,NA,NA,-,NA,NA
974,108,Apr,18,2,NIHONKIRYAKU,5.2,41.36
975,101,Apr,11,2,NIHONKIRYAKU,7.2,44.96
976,NA,NA,NA,NA,-,NA,NA
977,112,Apr,22,2,FUSO-RYAKKI,4.1,39.38
978,NA,NA,NA,NA,-,NA,NA
979,104,Apr,14,3,DAINIHON-SHIRYO,6.3,43.34
980,NA,NA,NA,NA,-,NA,NA
981,NA,NA,NA,NA,-,NA,NA
982,NA,NA,NA,NA,-,NA,NA
983,NA,NA,NA,NA,-,NA,NA
984,NA,NA,NA,NA,-,NA,NA
985,94,Apr,4,2,SHOYUKI,9.3,48.74
986,NA,NA,NA,NA,-,NA,NA
987,NA,NA,NA,NA,-,NA,NA
988,NA,NA,NA,NA,-,NA,NA
989,100,Apr,10,2,SHOYUKI,7.4,45.32
990,NA,NA,NA,NA,-,NA,NA
991,104,Apr,14,1,EIGA-MONOGATARI(MIHATENUYUME),6.3,43.34
992,NA,NA,NA,NA,-,NA,NA
993,NA,NA,NA,NA,-,NA,NA
994,NA,NA,NA,NA,-,NA,NA
995,NA,NA,NA,NA,-,NA,NA
996,NA,NA,NA,NA,-,NA,NA
997,NA,NA,NA,NA,-,NA,NA
998,NA,NA,NA,NA,-,NA,NA
999,NA,NA,NA,NA,-,NA,NA
1000,105,Apr,15,2,MIDO-KAMPAKUKI,6,42.8
1001,NA,NA,NA,NA,-,NA,NA
1002,NA,NA,NA,NA,-,NA,NA
1003,NA,NA,NA,NA,-,NA,NA
1004,117,Apr,26,2,MIDO-KAMPAKUKI,2.7,36.86
1005,NA,NA,NA,NA,-,NA,NA
1006,100,Apr,10,2,NIHONKIRYAKU,7.4,45.32
1007,106,Apr,16,4,MIDO-KAMPAKUKI,5.7,42.26
1008,NA,NA,NA,NA,-,NA,NA
1009,NA,NA,NA,NA,-,NA,NA
1010,NA,NA,NA,NA,-,NA,NA
1011,NA,NA,NA,NA,-,NA,NA
1012,NA,NA,NA,NA,-,NA,NA
1013,NA,NA,NA,NA,-,NA,NA
1014,115,Apr,25,2,DAI-SAIIN-GYOSHU,3.2,37.76
1015,NA,NA,NA,NA,-,NA,NA
1016,111,Apr,20,2,MIDO-KAMPAKUKI,4.3,39.74
1017,99,Apr,9,2,MIDO-KAMPAKUKI,7.7,45.86
1018,113,Apr,23,2,MIDO-KAMPAKUKI,3.8,38.84
1019,98,Apr,8,2,SHOYUKI,8,46.4
1020,NA,NA,NA,NA,-,NA,NA
1021,NA,NA,NA,NA,-,NA,NA
1022,NA,NA,NA,NA,-,NA,NA
1023,NA,NA,NA,NA,-,NA,NA
1024,NA,NA,NA,NA,-,NA,NA
1025,NA,NA,NA,NA,-,NA,NA
1026,NA,NA,NA,NA,-,NA,NA
1027,NA,NA,NA,NA,-,NA,NA
1028,NA,NA,NA,NA,-,NA,NA
1029,116,Apr,26,2,REKIDAI-HENNEN-SHUSEI,3,37.4
1030,NA,NA,NA,NA,-,NA,NA
1031,97,Apr,7,2,SHOYUKI,8.3,46.94
1032,111,Apr,20,2,NIHONKIRYAKU,4.3,39.74
1033,102,Apr,12,4,NIHONKIRYAKU,6.9,44.42
1034,96,Apr,6,8,EST-from-WF(EIGA-MONOGATARI),8.6,47.48
1035,NA,NA,NA,NA,-,NA,NA
1036,104,Apr,13,4,NIHONKIRYAKU,6.3,43.34
1037,NA,NA,NA,NA,-,NA,NA
1038,NA,NA,NA,NA,-,NA,NA
1039,NA,NA,NA,NA,-,NA,NA
1040,NA,NA,NA,NA,-,NA,NA
1041,103,Apr,13,2,FUSO-RYAKKI,6.6,43.88
1042,NA,NA,NA,NA,-,NA,NA
1043,NA,NA,NA,NA,-,NA,NA
1044,NA,NA,NA,NA,-,NA,NA
1045,NA,NA,NA,NA,-,NA,NA
1046,103,Apr,13,1,EIGA-MONOGATARI(NEAWASE),6.6,43.88
1047,NA,NA,NA,NA,-,NA,NA
1048,112,Apr,21,3,IETSUNE-ASON-SHU,4.1,39.38
1049,NA,NA,NA,NA,-,NA,NA
1050,105,Apr,15,2,EIGA-MONOGATARI(NEAWASE),6,42.8
1051,NA,NA,NA,NA,-,NA,NA
1052,NA,NA,NA,NA,-,NA,NA
1053,NA,NA,NA,NA,-,NA,NA
1054,NA,NA,NA,NA,-,NA,NA
1055,NA,NA,NA,NA,-,NA,NA
1056,NA,NA,NA,NA,-,NA,NA
1057,NA,NA,NA,NA,-,NA,NA
1058,NA,NA,NA,NA,-,NA,NA
1059,NA,NA,NA,NA,-,NA,NA
1060,108,Apr,17,4,SHIN-SENZAI-WAKASHU,5.2,41.36
1061,92,Apr,2,4,MOROZANE-SHU,9.9,49.82
1062,NA,NA,NA,NA,-,NA,NA
1063,NA,NA,NA,NA,-,NA,NA
1064,NA,NA,NA,NA,-,NA,NA
1065,NA,NA,NA,NA,-,NA,NA
1066,105,Apr,15,2,SUISAKI,6,42.8
1067,NA,NA,NA,NA,-,NA,NA
1068,NA,NA,NA,NA,-,NA,NA
1069,NA,NA,NA,NA,-,NA,NA
1070,NA,NA,NA,NA,-,NA,NA
1071,113,Apr,23,2,SHUGAKKAIKI,3.8,38.84
1072,NA,NA,NA,NA,-,NA,NA
1073,103,Apr,13,2,EIGA-MONOGATARI(MATSUNO-SHIDUE),6.6,43.88
1074,NA,NA,NA,NA,-,NA,NA
1075,NA,NA,NA,NA,-,NA,NA
1076,NA,NA,NA,NA,-,NA,NA
1077,NA,NA,NA,NA,-,NA,NA
1078,NA,NA,NA,NA,-,NA,NA
1079,NA,NA,NA,NA,-,NA,NA
1080,102,Apr,11,2,SUISAKI,6.9,44.42
1081,NA,NA,NA,NA,-,NA,NA
1082,NA,NA,NA,NA,-,NA,NA
1083,96,Apr,6,1,GONIJO-MOROMICHIKI,8.6,47.48
1084,120,Apr,29,4,ZOKU-GOSEN-WAKASHU,2,35.6
1085,NA,NA,NA,NA,-,NA,NA
1086,NA,NA,NA,NA,-,NA,NA
1087,NA,NA,NA,NA,-,NA,NA
1088,104,Apr,13,2,GONIJO-MOROMICHIKI,6.3,43.34
1089,NA,NA,NA,NA,-,NA,NA
1090,105,Apr,15,2,GONIJO-MOROMICHIKI,6,42.8
1091,NA,NA,NA,NA,-,NA,NA
1092,NA,NA,NA,NA,-,NA,NA
1093,105,Apr,15,2,GONIJO-MOROMICHIKI,6,42.8
1094,NA,NA,NA,NA,-,NA,NA
1095,100,Apr,10,4,CHUYUKI,7.4,45.32
1096,96,Apr,5,2,GONIJO-MOROMICHIKI,8.6,47.48
1097,NA,NA,NA,NA,-,NA,NA
1098,100,Apr,10,2,CHUYUKI,7.4,45.32
1099,103,Apr,13,1,GONIJO-MOROMICHIKI,6.6,43.88
1100,NA,NA,NA,NA,-,NA,NA
1101,NA,NA,NA,NA,-,NA,NA
1102,104,Apr,14,3,CHUYUKI,6.3,43.34
1103,NA,NA,NA,NA,-,NA,NA
1104,108,Apr,17,2,DENRYAKU,5.2,41.36
1105,114,Apr,24,2,CHUYUKI,3.5,38.3
1106,NA,NA,NA,NA,-,NA,NA
1107,105,Apr,15,2,CHUYUKI,6,42.8
1108,NA,NA,NA,NA,-,NA,NA
1109,NA,NA,NA,NA,-,NA,NA
1110,NA,NA,NA,NA,-,NA,NA
1111,113,Apr,23,2,EISHOKI,3.8,38.84
1112,104,Apr,13,1,CHUYUKI,6.3,43.34
1113,NA,NA,NA,NA,-,NA,NA
1114,100,Apr,10,2,DENRYAKU,7.4,45.32
1115,NA,NA,NA,NA,-,NA,NA
1116,NA,NA,NA,NA,-,NA,NA
1117,109,Apr,19,2,DENRYAKU,4.9,40.82
1118,102,Apr,12,2,MISSHU-KETSUMYAKUSHO,6.9,44.42
1119,NA,NA,NA,NA,-,NA,NA
1120,104,Apr,13,2,DAIGO-ZOJIKI,6.3,43.34
1121,NA,NA,NA,NA,-,NA,NA
1122,NA,NA,NA,NA,-,NA,NA
1123,112,Apr,22,2,DAIGO-ZOJIKI,4.1,39.38
1124,98,Apr,7,2,DAIGO-ZOJIKI,8,46.4
1125,111,Apr,21,2,DAIGOJI-ZATSUYO,4.3,39.74
1126,108,Apr,18,2,DAIGOJI-ZATSUYO,5.2,41.36
1127,107,Apr,17,2,DAIGO-ZOJIKI,5.4,41.72
1128,111,Apr,20,2,DAIGO-ZOJIKI,4.3,39.74
1129,106,Apr,16,2,DAIGO-ZOJIKI,5.7,42.26
1130,103,Apr,13,2,DAIGO-ZOJIKI,6.6,43.88
1131,103,Apr,13,2,DAIGOJI-ZATSUYO,6.6,43.88
1132,NA,NA,NA,NA,-,NA,NA
1133,NA,NA,NA,NA,-,NA,NA
1134,106,Apr,16,2,DAIGOJI-ZATSUYO,5.7,42.26
1135,NA,NA,NA,NA,-,NA,NA
1136,NA,NA,NA,NA,-,NA,NA
1137,NA,NA,NA,NA,-,NA,NA
1138,NA,NA,NA,NA,-,NA,NA
1139,113,Apr,23,2,DAIGOJI-ZATSUYO,3.8,38.84
1140,103,Apr,12,2,DAIGO-ZOJIKI,6.6,43.88
1141,111,Apr,21,2,DAIGOJI-ZATSUYO,4.3,39.74
1142,NA,NA,NA,NA,-,NA,NA
1143,110,Apr,20,2,DAIGOJI-ZATSUYO,4.6,40.28
1144,NA,NA,NA,NA,-,NA,NA
1145,107,Apr,17,2,TAIKI,5.4,41.72
1146,NA,NA,NA,NA,-,NA,NA
1147,NA,NA,NA,NA,-,NA,NA
1148,NA,NA,NA,NA,-,NA,NA
1149,NA,NA,NA,NA,-,NA,NA
1150,NA,NA,NA,NA,-,NA,NA
1151,109,Apr,19,8,EST-from-WF(HONCHO-SEIKI),4.9,40.82
1152,NA,NA,NA,NA,-,NA,NA
1153,NA,NA,NA,NA,-,NA,NA
1154,96,Apr,6,2,TAIKI,8.6,47.48
1155,NA,NA,NA,NA,-,NA,NA
1156,90,Mar,30,2,NA,10.5,50.9
1157,NA,NA,NA,NA,-,NA,NA
1158,NA,NA,NA,NA,-,NA,NA
1159,103,Apr,13,2,DAIGOJI-ZATSUYO,6.6,43.88
1160,NA,NA,NA,NA,-,NA,NA
1161,112,Apr,22,2,DAIGOJI-ZATSUYO,4.1,39.38
1162,NA,NA,NA,NA,-,NA,NA
1163,112,Apr,22,2,DAIGOJI-ZATSUYO,4.1,39.38
1164,100,Apr,9,2,DAIGOJI-ZATSUYO,7.4,45.32
1165,106,Apr,16,2,DAIGOJI-ZATSUYO,5.7,42.26
1166,95,Apr,5,2,DAIGOJI-ZATSUYO,8.9,48.02
1167,111,Apr,21,2,DAIGOJI-ZATSUYO,4.3,39.74
1168,NA,NA,NA,NA,-,NA,NA
1169,112,Apr,22,2,DAIGOJI-ZATSUYO,4.1,39.38
1170,113,Apr,23,2,DAIGOJI-ZATSUYO,3.8,38.84
1171,NA,NA,NA,NA,-,NA,NA
1172,103,Apr,12,2,DAIGOJI-ZATSUYO,6.6,43.88
1173,117,Apr,27,2,DAIGOJI-ZATSUYO,2.7,36.86
1174,112,Apr,22,2,DAIGOJI-ZATSUYO,4.1,39.38
1175,113,Apr,23,2,DAIGOJI-ZATSUYO,3.8,38.84
1176,113,Apr,22,2,TAKAKURAIN-ANGEN-ONGAKI,3.8,38.84
1177,NA,NA,NA,NA,-,NA,NA
1178,NA,NA,NA,NA,-,NA,NA
1179,103,Apr,13,2,SANKAIKI,6.6,43.88
1180,98,Apr,7,1,MEIGETSUKI,8,46.4
1181,NA,NA,NA,NA,-,NA,NA
1182,104,Apr,14,4,TSUKIMOUDE-WAKASHU(PART-3),6.3,43.34
1183,101,Apr,11,2,DAIGOJI-ZATSUYO,7.2,44.96
1184,115,Apr,24,1,GYOKUYO,3.2,37.76
1185,115,Apr,25,2,DAIGO-ZOJIKI,3.2,37.76
1186,NA,NA,NA,NA,-,NA,NA
1187,104,Apr,14,2,SAKURAE-RUIJU,6.3,43.34
1188,107,Apr,16,2,SAKURAE-RUIJU,5.4,41.72
1189,NA,NA,NA,NA,-,NA,NA
1190,112,Apr,22,4,SHUGYOKU-SHU,4.1,39.38
1191,106,Apr,16,2,GYOKUYO,5.7,42.26
1192,NA,NA,NA,NA,-,NA,NA
1193,NA,NA,NA,NA,-,NA,NA
1194,119,Apr,29,2,NAKASUKEOKI,2.2,35.96
1195,NA,NA,NA,NA,-,NA,NA
1196,NA,NA,NA,NA,-,NA,NA
1197,NA,NA,NA,NA,-,NA,NA
1198,NA,NA,NA,NA,-,NA,NA
1199,109,Apr,19,1,INOKUMA-KAMPAKUKI,4.9,40.82
1200,104,Apr,13,1,INOKUMA-KAMPAKUKI,6.3,43.34
1201,96,Apr,6,4,INOKUMA-KAMPAKUKI,8.6,47.48
1202,106,Apr,16,1,MEIGETSUKI,5.7,42.26
1203,105,Apr,15,2,(SHIRYO-SORAN),6,42.8
1204,110,Apr,19,2,MEIGETSUKI,4.6,40.28
1205,105,Apr,15,2,MEIGETSUKI,6,42.8
1206,NA,NA,NA,NA,-,NA,NA
1207,104,Apr,14,2,MEIGETSUKI,6.3,43.34
1208,NA,NA,NA,NA,-,NA,NA
1209,NA,NA,NA,NA,-,NA,NA
1210,112,Apr,22,2,ASUKAI-SHU,4.1,39.38
1211,NA,NA,NA,NA,-,NA,NA
1212,98,Apr,7,2,GYOKUSOU,8,46.4
1213,107,Apr,17,2,SHIKIN-WAKASO,5.4,41.72
1214,102,Apr,12,2,(SHIRYO-SORAN),6.9,44.42
1215,108,Apr,18,2,MICHIIEKO-MARINIKKI,5.2,41.36
1216,101,Apr,10,4,JUNTOKUIN-GYOSHU,7.2,44.96
1217,NA,NA,NA,NA,-,NA,NA
1218,NA,NA,NA,NA,-,NA,NA
1219,101,Apr,11,4,JUNTOKUIN-GYOSHU,7.2,44.96
1220,109,Apr,18,9,EST-from-KJ(NORIMUNE-SHU),4.9,40.82
1221,99,Apr,9,4,SHUI-GUSO,7.7,45.86
1222,NA,NA,NA,NA,-,NA,NA
1223,116,Apr,26,4,MITSUTSUNE-SHU,3,37.4
1224,NA,NA,NA,NA,-,NA,NA
1225,105,Apr,15,1,MEIGETSUKI,6,42.8
1226,106,Apr,16,2,MEIGETSUKI,5.7,42.26
1227,111,Apr,21,2,MEIGETSUKI,4.3,39.74
1228,NA,NA,NA,NA,-,NA,NA
1229,97,Apr,7,2,MEIGETSUKI,8.3,46.94
1230,102,Apr,12,1,MEIGETSUKI,6.9,44.42
1231,101,Apr,11,1,MINKEIKI,7.2,44.96
1232,92,Apr,1,1,MINKEIKI,9.9,49.82
1233,105,Apr,15,2,MEIGETSUKI,6,42.8
1234,NA,NA,NA,NA,-,NA,NA
1235,110,Apr,20,1,MEIGETSUKI,4.6,40.28
1236,87,Mar,27,4,SHIIBA-WAKASHU,11.5,52.7
1237,NA,NA,NA,NA,-,NA,NA
1238,NA,NA,NA,NA,-,NA,NA
1239,NA,NA,NA,NA,-,NA,NA
1240,106,Apr,15,2,SAMPOIN-MONJO,5.7,42.26
1241,NA,NA,NA,NA,-,NA,NA
1242,NA,NA,NA,NA,-,NA,NA
1243,NA,NA,NA,NA,-,NA,NA
1244,108,Apr,17,2,HEIKOKI,5.2,41.36
1245,108,Apr,18,2,HEIKOKI,5.2,41.36
1246,98,Apr,8,1,MASUKAGAMI,8,46.4
1247,106,Apr,16,2,ZOKU-HONCHOTSUKAN,5.7,42.26
1248,NA,NA,NA,NA,-,NA,NA
1249,108,Apr,18,2,BENN-NO-NAISHI-NIKKI,5.2,41.36
1250,116,Apr,26,1,BENN-NO-NAISHI-NIKKI,3,37.4
1251,100,Apr,10,1,BENN-NO-NAISHI-NIKKI,7.4,45.32
1252,NA,NA,NA,NA,-,NA,NA
1253,NA,NA,NA,NA,-,NA,NA
1254,110,Apr,20,2,SAKURAE-RUIJU,4.6,40.28
1255,NA,NA,NA,NA,-,NA,NA
1256,NA,NA,NA,NA,-,NA,NA
1257,94,Apr,4,2,TSUNETOSHI-KYOKI,9.3,48.74
1258,NA,NA,NA,NA,-,NA,NA
1259,96,Apr,6,1,MASUKAGAMI,8.6,47.48
1260,NA,NA,NA,NA,-,NA,NA
1261,NA,NA,NA,NA,-,NA,NA
1262,97,Apr,7,9,EST-from-KJ(KUJOKE-REKISEI-KIROKU),8.3,46.94
1263,120,Apr,30,2,ZOKU-HONCHOTSUKAN,2,35.6
1264,103,Apr,12,2,ZOKU-SHIGUSHO,6.6,43.88
1265,98,Apr,8,4,TAMEIE-SHU,8,46.4
1266,NA,NA,NA,NA,-,NA,NA
1267,105,Apr,15,2,MISININ-KAMPAKUKI,6,42.8
1268,103,Apr,12,4,TAMEIE-SHU,6.6,43.88
1269,100,Apr,10,4,ZOKU-SHIGUSHO,7.4,45.32
1270,NA,NA,NA,NA,-,NA,NA
1271,100,Apr,10,4,DAINAGON-TAMEIE-SHU,7.4,45.32
1272,NA,NA,NA,NA,-,NA,NA
1273,NA,NA,NA,NA,-,NA,NA
1274,NA,NA,NA,NA,-,NA,NA
1275,107,Apr,17,3,TOWAZUGATARI,5.4,41.72
1276,NA,NA,NA,NA,-,NA,NA
1277,NA,NA,NA,NA,-,NA,NA
1278,113,Apr,23,2,ZOKU-SHIGUSHO(DAIGO),3.8,38.84
1279,101,Apr,11,2,KANCHUKI,7.2,44.96
1280,102,Apr,11,2,HARUNO-MIYAMAJI,6.9,44.42
1281,NA,NA,NA,NA,-,NA,NA
1282,NA,NA,NA,NA,-,NA,NA
1283,103,Apr,13,2,(SHIRYO-SORAN),6.6,43.88
1284,102,Apr,11,1,NAKANOTSUKASA-NIKKI,6.9,44.42
1285,105,Apr,15,2,ZOKU-HONCHOTSUKAN,6,42.8
1286,112,Apr,22,2,ZOKU-SHIGUSHO,4.1,39.38
1287,110,Apr,20,2,SANEMI-KYOKI,4.6,40.28
1288,108,Apr,17,2,NAKANOTSUKASA-NIKKI,5.2,41.36
1289,107,Apr,17,4,NAKANOTSUKASA-NIKKI,5.4,41.72
1290,NA,NA,NA,NA,-,NA,NA
1291,NA,NA,NA,NA,-,NA,NA
1292,107,Apr,16,2,SANEMI-KYOKI,5.4,41.72
1293,NA,NA,NA,NA,-,NA,NA
1294,101,Apr,11,2,KANCHUKI,7.2,44.96
1295,102,Apr,12,2,(DAINIHON-SHIRYO),6.9,44.42
1296,NA,NA,NA,NA,-,NA,NA
1297,NA,NA,NA,NA,-,NA,NA
1298,NA,NA,NA,NA,-,NA,NA
1299,NA,NA,NA,NA,-,NA,NA
1300,NA,NA,NA,NA,-,NA,NA
1301,95,Apr,5,4,SANEMI-KYOKI,8.9,48.02
1302,96,Apr,6,2,ZOKU-SHIGUSHO,8.6,47.48
1303,NA,NA,NA,NA,-,NA,NA
1304,NA,NA,NA,NA,-,NA,NA
1305,NA,NA,NA,NA,-,NA,NA
