year,full_doy,first_doy,early_Nov,mid_Nov,late_Nov,early_Dec,mid_Dec,late_Dec,early_Jan,mid_Jan,late_Jan,early_Feb,mid_Feb,late_Feb,early_Mar,mid_Mar,late_Mar,avg_Nov,avg_Dec,avg_Jan,avg_Feb,avg_Mar
1881,112,"NA",9.5,8.3,6.7,3.9,3.2,0.3,1.4,0.5,-0.2,1.3,1.9,4.8,3.8,4.4,5.7,8.2,2.4,0.5,2.5,4.7
1882,97,"NA",14.7,9.7,7,5.4,3.9,2.1,4.6,2.5,5.7,5,5.5,2.3,3.2,6.6,6.7,10.4,3.8,4.3,4.4,5.5
1883,107,"NA",11.1,10.1,6.7,5.1,3,0.8,2.1,1.1,3.4,1.3,3.8,4.6,4.2,5.6,6.9,9.3,2.9,2.3,3.1,5.6
1884,109,"NA",12,8.1,7,4.3,3.7,2.7,1.7,1.5,2.4,0.5,1.2,3.4,5.2,4.9,6.5,9,3.5,1.9,1.6,5.6
1885,113,"NA",9.7,6.8,4.7,3.4,2.1,2.2,1.4,0.6,0.5,1.2,0,2.9,3.3,2.8,5.1,7.1,2.6,0.8,1.2,3.8
1886,108,"NA",12.7,10.1,6.6,5.9,4.7,4.8,1.8,1.7,0.9,0.8,0.5,1.9,6,8.3,6.9,9.8,5.1,1.4,1,7
1887,109,"NA",13.4,10.2,7.2,4.3,3.5,3.7,1.2,3.4,5.6,1.6,3.5,3.9,3.1,5.5,7.1,10.2,3.9,3.5,2.9,5.3
1888,107,"NA",12,8.1,9,6.6,4.2,3.1,3.3,3.6,1.8,1.4,1.4,2.5,5.4,6.9,9.9,9.7,4.6,2.9,1.7,7.5
1889,109,"NA",14.6,11.6,9,6.4,4.2,5.4,2.2,3.4,0.7,1.4,2.5,4.1,7.4,5.2,7.3,11.7,5.3,2.1,2.6,6.6
1890,98,"NA",9.7,8.2,9.4,4.8,5.5,4.5,3.1,3.6,3.1,5.8,8.6,5.1,6.3,8,11.2,9.1,4.9,3.3,6.6,8.6
1891,99,"NA",11.6,11.1,8.8,14,7.3,6,2.4,1.1,2.3,3.5,1.1,7.5,6.2,7.3,9.7,10.5,9,2,3.8,7.8
1892,115,"NA",12.6,10.8,6.9,6.4,3.6,4.5,3.3,1.1,2.6,2.8,2.8,3,5.9,4.5,4,10.1,4.9,2.3,2.8,4.7
1893,109,"NA",11.6,9.1,5.5,3.9,0.6,1.7,2.5,1.2,2.2,1.6,0.6,0,1.9,5.2,7.6,8.7,2,1.9,0.8,5
1894,98,"NA",11.3,6.7,6.3,4.3,2,2.8,2.4,2.5,1,1.9,2.3,3.5,6.4,5.7,10.1,8.1,3,1.9,2.5,7.5
1895,NA,"NA",11.3,8.3,12.6,5.9,3.1,3.5,3,0.9,0.4,1.4,4.7,0.5,5,5.7,9.5,10.7,4.1,1.4,2.3,6.8
1896,106,"NA",10.5,8.3,7.6,7.7,2.2,2.8,3.5,2.2,1.9,2.6,1.1,5.2,1.3,6.7,5.8,8.8,4.2,2.5,2.9,4.6
1897,106,"NA",8.3,8.9,10.7,3.4,5.5,3.1,4.5,4.3,2.3,2.5,2,4.4,5.9,5.2,7.5,9.3,4,3.6,2.9,6.2
1898,108,"NA",13,9.7,7.2,4.8,2.5,1,3.5,3.4,2.9,4.2,4.1,3.2,3.1,5.3,7.6,10,2.7,3.2,3.9,5.4
1899,99,"NA",12.2,13.2,8.5,7.9,5.7,3,2.5,2.6,1.7,2.1,2.7,8.2,7.8,5.1,8.4,11.3,5.5,2.3,4,7.1
1900,102,"NA",8.7,7.3,4.9,5.1,5.2,4.9,1.5,1.3,1.8,1.5,3.1,3.2,4.2,3.8,7.5,7,5,1.5,2.6,5.2
1901,102,"NA",12.1,9.1,9.6,4.8,3.4,4.6,5.3,3.8,3.5,0.9,1.8,2.3,3.1,3.7,8.5,10.3,4.3,4.2,1.6,5.2
1902,98,"NA",11.4,9.6,5.5,4.7,3,2.3,1.2,1.6,2.4,1.6,1.5,4.7,5,8.4,9.8,8.8,3.3,1.7,2.4,7.8
1903,99,"NA",12.1,10.5,9.6,7.4,9,3.8,2.6,3.7,5,2.7,3.2,4.9,7,10,8.5,10.7,6.6,3.8,3.5,8.5
1904,108,"NA",10.6,8.4,5.9,4.9,3.7,1.5,2,2.2,0.6,3.2,3.4,5.6,7.4,5.5,6,8.3,3.3,1.5,4,6.3
1905,105,"NA",7.7,8.2,6.3,6.6,6,2.7,3.8,4.1,5.1,1,2.1,4.4,3.1,5.5,10.3,7.4,5,4.3,2.3,6.4
1906,105,"NA",10.3,10.3,8.5,9.9,5,5.6,2.8,1.9,0.3,2.5,2.3,5.5,3.1,7.9,8.5,9.7,6.8,1.6,3.3,6.6
1907,103,"NA",8.8,11.3,4.6,4.4,7.2,2.2,2.7,2.9,5.6,0.9,1,1.9,4.2,5.1,6.8,8.3,4.5,3.8,1.2,5.4
1908,102,"NA",12.4,11.7,8.1,4.1,3.3,2.3,1.9,5.7,2.2,1,1.7,4.6,4.9,4.9,8.6,10.7,3.2,3.2,2.4,6.2
1909,108,"NA",10.6,6.5,6.7,4.5,4.7,4.6,2.8,2.6,2.1,1.8,2.8,1.2,5,5.5,6.3,7.9,4.6,2.5,2,5.6
1910,104,"NA",11.9,7,8.6,4.8,2.5,3.6,6.2,3.5,3.6,0.8,1.9,3.7,0.8,5.1,8,9.2,3.6,4.4,2,4.7
1911,98,"NA",12,8.9,7.1,4.4,2,2.6,1.5,2.3,4.4,3.2,3.6,4.3,7.5,7.1,8.5,9.3,3,2.8,3.6,7.7
1912,105,"NA",10.1,12.9,10.3,5.6,4.4,2.6,2.3,1.2,3.3,4.3,4.6,9.2,7.6,4.7,8.5,11.1,4.2,2.3,5.9,7
1913,103,"NA",11.4,7.5,7.4,4.5,5.7,3.2,1.3,1.5,2.4,3.2,2.8,4.3,1.3,5.3,7,8.8,4.4,1.8,3.3,4.6
1914,102,"NA",9.5,9.4,8.6,6.4,5,3.2,2.7,4.6,3.3,2.3,5,5.3,9.2,7.8,9.8,9.2,4.8,3.5,4.1,9
1915,102,"NA",15.1,13.7,6.5,7.6,4.1,3.9,3.7,1.9,4,4.1,3.1,5.8,6.7,4.1,6,11.8,5.1,3.2,4.2,5.6
1916,112,"NA",13.9,11,9.9,5.8,4.1,5.9,6.1,3.5,4.9,5.5,2.2,5.8,3.7,4.2,6.7,11.6,5.3,4.8,4.5,4.9
1917,103,"NA",14.8,11.8,11,9.7,5.8,3.5,0.9,2.4,1.1,1,3.4,4.1,4.3,7.6,6.5,12.5,6.2,1.4,2.7,6.1
1918,104,"NA",9.4,6.5,6.2,5.2,3.6,0.1,0.7,1.4,0.9,3.9,1.3,4.1,5.2,6.8,7.4,7.4,2.9,1,3.1,6.5
1919,NA,"NA",13.3,7.4,8.1,5.7,4.1,3.4,3,4.1,1.9,0.5,5,7,7.4,6.8,8.2,9.6,4.4,2.9,4,7.5
1920,104,"NA",13.9,12.3,7.7,7.3,3.4,3.9,3.3,3.1,3.5,4.1,2.7,2.6,4.5,7.6,9.3,11.3,4.8,3.3,3.1,7.2
1921,NA,"NA",14.2,11.1,8.3,7.4,6.6,3,4,3.5,3.4,2.8,2.5,4.5,4.3,5.8,5.9,11.2,5.6,3.6,3.2,5.3
1922,101,"NA",8.9,8.7,5.5,5.1,7,2.8,2.1,1.1,0.8,4.9,6.7,8.5,4.5,7.6,5.5,7.7,4.9,1.3,6.5,5.8
1923,97,"NA",13.9,9.7,7.6,4.7,2.8,3.6,0.2,1.4,2.7,1.9,6.5,2.4,4.9,8.5,10.6,10.4,3.7,1.5,3.7,8.1
1924,111,"NA",13.5,10.2,8.6,7.4,5.6,4.7,3.3,4.1,1,4.9,3.6,2.5,3.3,2.6,6,10.7,5.9,2.7,3.7,4
1925,108,"NA",10,7.4,7.2,5.4,3.5,4.1,3.3,2.1,1.9,2.3,2.9,1.1,3.8,4.5,7.4,8.2,4.3,2.4,2.2,5.3
1926,108,"NA",11.8,12.1,8.7,6.8,4.9,5.1,1.8,4,0.9,4.3,3.3,4,5.5,5.5,5.2,10.8,5.6,2.2,3.8,5.4
1927,107,"NA",9.7,9.5,7.2,6.1,4.2,1,5.3,3.8,-0.6,0.7,3.2,2.2,3.7,5.5,8.9,8.8,3.7,2.7,2,6.1
1928,107,"NA",11.9,10.8,10.2,8,5.8,3.8,2.2,3.8,4.6,2.2,2.7,4,5.5,5.8,7.8,10.9,5.8,3.6,2.9,6.4
1929,103,"NA",13.3,11.1,8.8,6.9,4.5,3.2,0.8,3.4,1,1.6,1.4,4,3.2,4,10.1,11.1,4.8,1.7,2.2,5.9
1930,95,"NA",12.5,10,8.3,7.6,12.6,5.4,2,2.8,3.4,3.9,2.9,8.5,6.5,7.4,10.9,10.3,8.4,2.7,4.8,8.3
1931,105,"NA",11.5,7.9,7.5,6.3,5.8,4,5.3,1.5,3.3,4.6,2.5,3.1,4.7,7,8.4,8.9,5.3,3.4,3.4,6.8
1932,105,"NA",12.9,12.5,9,7.3,4.6,5.3,4.3,3.8,5.5,3.8,3.5,1.7,5.3,5.7,6.3,11.5,5.7,4.6,3,5.8
1933,106,"NA",12.2,9.2,9,7.3,4.7,5.3,4,3.3,1.2,2.6,2.6,3,2.7,5,7.6,10.1,5.7,2.7,2.7,5.2
1934,104,"NA",11.4,11.3,9.3,7.8,4.6,4.3,1.6,1,0.6,2.9,2.3,2.2,1.9,7,7.5,10.6,5.5,1.1,2.5,5.5
1935,102,"NA",11.1,8.7,7.8,5.5,6.2,5.8,4.2,3.9,1.7,2.8,4.2,6.7,6,8,6.6,9.2,5.8,3.2,4.4,6.8
1936,111,"NA",12.3,9.6,10.4,7.9,2.7,4.8,2.1,-0.1,0.6,0.3,2.5,1.6,0.4,5.8,7,10.7,5.1,0.9,1.4,4.5
1937,100,"NA",11.5,10.2,9,6,10.3,4.7,5.5,3.4,3.1,5.6,5.1,7.9,8.4,6.2,7.3,10.2,6.9,4,6.1,7.3
1938,98,"NA",15.4,10.6,7.6,4.3,5.7,3.4,0.8,3.3,2.6,1.3,3.5,2.4,9.2,6.2,11.5,11.2,4.5,2.2,2.4,9
1939,104,"NA",12.1,7.7,7.4,5.7,6.5,3.3,1.4,2,2.6,1.4,4.6,4.4,7.7,5.2,7.6,9.1,5.1,2,3.4,6.8
1940,110,"NA",15.3,10.9,9.9,5.4,3.9,5,4.7,2.6,-0.1,1,4.5,2.4,7.3,5.3,6.2,12,4.8,2.3,2.6,6.3
1941,100,"NA",14.5,11.3,11.2,8.6,6.3,5.1,6.7,3.5,3.8,2.1,4.7,5.8,5.2,9.9,7.9,12.3,6.6,4.6,4.1,7.7
1942,96,"NA",12.8,12.6,11.1,7.6,5.4,6.8,3.5,1.5,4,4.2,1.3,4.1,7.5,10.6,11.4,12.1,6.6,3,3.1,9.9
1943,101,"NA",11,8.9,7.2,5.1,4.7,3.6,1.4,1.6,2.3,2.7,2.6,2.7,3.4,6.9,7.7,9,4.4,1.8,2.7,6.1
1944,100,"NA",13,10.3,7,5.4,5.5,5,2.1,3,3.7,2.3,2.4,2.8,4.7,6.4,6,10.1,5.3,2.9,2.5,5.7
1945,NA,"NA",12.8,9.1,10.8,5.7,3.6,3,2,0.8,0.1,0.1,1.4,2.4,5.6,3.5,10.3,10.9,4.1,0.9,1.2,6.6
1946,97,"NA",11,9.9,9.8,5.8,3.7,3.2,2.6,2,5.5,2.3,4.1,4,4.6,4.7,8.6,10.2,4.2,3.4,3.4,6.1
1947,107,"NA",16.1,10.5,12.1,6.1,4.2,4.2,4.1,6.1,1.6,0.7,0.4,3.7,4.7,5.2,6.3,12.9,4.8,3.8,1.4,5.4
1948,102,"NA",11.2,7.8,7.2,6.8,2.3,2.6,2.3,3.8,4.2,2.1,5,5.2,3.5,9.1,6.5,8.7,3.8,3.5,4.1,6.4
1949,107,"NA",12.9,11.8,9.3,7.4,8.2,10,4.4,3.6,5.6,5.8,4.8,7.2,4.3,6.4,5.8,11.3,8.5,4.6,5.8,5.5
1950,99,"NA",10.9,9.3,11.2,8.1,7.1,4.2,4.6,5.3,5.7,5.8,3.7,3.4,6.9,4.8,8.5,10.5,6.4,5.2,4.4,6.8
1951,98,"NA",14.2,10,9.4,5.8,5.8,3.6,4,3.8,2.8,2.9,2.8,9.6,5.6,8.4,8.1,11.2,5,3.5,4.8,7.4
1952,105,"NA",12.5,11.7,8.1,7,6.4,8.1,4.9,3.3,4,1.9,3.7,4.3,5.7,7.3,7.4,10.8,7.2,4.1,3.3,6.8
1953,100,94,13.7,11.5,12.7,6.4,7.4,4.1,2.7,3,3,2.4,4.5,5.1,8.4,9,8.3,12.6,5.9,2.9,4,8.6
1954,94,87,13.8,8.7,8.2,8,7.4,6,5.8,6.9,2.8,2.9,5.9,7.7,6.3,6.6,9.6,10.2,7.1,5.1,5.3,7.6
1955,96,86,12.4,11.2,12.8,10,5.5,4.6,2.5,2.3,4.6,5.6,4.1,7.6,7.1,9.9,9.9,12.1,6.6,3.2,5.6,9
1956,100,91,9.9,9.4,9.7,6.8,7.2,6.4,4.1,3.5,3.4,3.6,3,3.5,4.6,8.9,11.1,9.6,6.8,3.6,3.4,8.3
1957,101,96,13.5,9.4,7.9,5.6,4.5,3,4.5,4,4.5,5.4,2.4,2.8,4.9,4.8,5.8,10.3,4.3,4.3,3.6,5.2
1958,97,91,12.9,12.4,11,8.1,7.8,5.1,4.1,4.9,3,5.4,3.8,6.9,3.7,9.8,9,12.1,7,4,5.3,7.5
1959,91,81,13.1,11.4,7.8,7.5,6.8,7,2.9,1.5,5.5,7.1,8.7,6.4,9.4,6.5,10.8,10.7,7.1,3.4,7.5,9
1960,95,88,16.2,10.9,9,8.8,7.3,4.4,5.7,4.2,2,5.8,3.8,6.8,9.1,7.5,10,12,6.7,3.9,5.4,8.9
1961,95,89,13.5,11.3,10.9,6.9,6.9,3.8,2.9,1.7,3.1,3.4,2.8,3.9,7.1,8.6,8.4,11.9,5.8,2.6,3.3,8
1962,96,91,13.5,11.9,11.5,8.1,7.8,4.1,4.3,3.6,1.8,4.5,4.5,5.6,6.1,8.6,7.3,12.3,6.6,3.2,4.8,7.3
1963,98,93,13.3,13,6.7,6.6,6.5,6.8,2.2,1.2,-0.1,1.7,2.3,3.2,3.9,7.4,9.6,11,6.6,1.1,2.3,7
1964,96,95,13,11.1,9.4,7.7,6.3,6.2,5,6.5,5,4,2.9,2.8,6.2,5.9,7.6,11.2,6.7,5.5,3.2,6.6
1965,106,98,13,9.2,8.6,5.6,4.8,8.1,3.6,2.7,3.8,3.4,4.8,3.2,3,6.2,7.1,10.3,6.2,3.3,3.8,5.5
1966,95,85,15.5,10.3,9.6,6.8,5.4,5.4,3.9,4.1,2.2,4.5,5.3,7.8,9.2,9.2,7.2,11.8,5.8,3.4,5.7,8.5
1967,95,90,13.8,11.3,7,4.9,4.9,4.3,2.8,1.9,4.8,4.5,2,6.4,5.9,7.3,9.8,10.7,4.7,3.2,4.1,7.7
1968,95,92,15,10.8,10.1,5.7,5.3,2.9,3.6,3.5,3,1.6,2.4,2.9,5.6,7.2,11,12,4.6,3.4,2.3,8
1969,102,96,14.1,9.2,11.5,12.5,8.8,6.1,2.4,4,7.7,4,7.6,2.8,4.2,5.4,10.7,11.6,9,4.8,5,6.9
1970,104,98,12.7,12.4,7.9,8,4.8,4.4,4.1,2.3,4.2,2.7,6.5,6.2,3.8,4,7,11,5.7,3.6,5.1,5
1971,96,90,12.4,11.6,9.7,6,7.1,5.5,3.7,5.8,3.6,2,6,7.8,4.3,6.3,11.1,11.2,6.2,4.3,5.1,7.4
1972,97,89,12.9,12.4,10.2,7.4,7.7,7.1,6.3,7.3,7.5,6.3,6.8,4.2,5.3,9.3,11.6,11.8,7.4,7.1,5.8,8.8
1973,97,90,14.3,13.7,7.8,8.5,6.1,8.3,6.1,5.7,6.7,5.7,8.6,6.5,5.3,7,10.7,12,7.7,6.2,6.9,7.8
1974,98,93,13.9,9.4,7,4.8,4.7,3.3,4.4,3,2.2,2.9,5.3,4.4,8.9,4.9,7.2,10.1,4.3,3.2,4.2,7
1975,99,93,13.1,9.1,9,7.7,6.5,5.8,4.8,2.6,4.5,5.9,2.7,2.4,6.4,8,7.8,10.4,6.6,4,3.7,7.4
1976,99,88,13.2,14.5,9.1,9.7,4.8,4.7,5.4,3.2,2.7,5,7.5,7.7,7,9.2,7.5,12.2,6.3,3.7,6.7,7.9
1977,92,87,13.9,10.2,6.7,7.4,6.8,4,2.3,2.7,2.6,1,1.9,6.7,6.1,10,9.9,10.3,6,2.5,2.9,8.7
1978,102,97,17,13.9,9.4,8.2,9.5,6.6,5.5,5.4,3.4,3.8,2.6,4.1,7.6,6,9.1,13.4,8,4.7,3.5,7.6
1979,98,89,12.9,12.6,9.7,8.6,8.6,5.4,6.7,3.9,6.4,5.4,7.7,9.7,5.8,7,10.8,11.8,7.5,5.7,7.5,8
1980,98,95,16.7,10,10.9,9.6,7.4,6.1,5.2,2.8,4.7,2.1,3.2,5.3,7.1,6,8.7,12.5,7.6,4.2,3.5,7.3
1981,97,88,11.8,12.1,12.7,7.8,5,2.8,2.8,1.8,2.5,3.3,6.2,1.8,5.1,9.7,10,12.2,5.1,2.4,3.9,8.3
1982,89,82,11.3,9.5,8,5.5,5.1,6.9,5,3.5,2.9,2.6,5.1,5.4,6.2,10.6,9.1,9.6,5.8,3.8,4.3,8.6
1983,98,91,15.7,14,10.6,8.1,6.1,6.8,5.9,4.2,4.2,5.5,3.6,4.4,5.7,7.2,10.4,13.4,7,4.8,4.5,7.8
1984,104,99,13.4,10.9,8.5,7.4,5.4,2.8,2.9,2.5,1.3,0.5,2.3,4.4,2.9,5.1,7.1,10.9,5.1,2.2,2.3,5.1
1985,97,91,13.9,13.8,8.9,8.2,8.8,3.1,3.6,3.1,2.7,7.2,5.3,3.7,7.6,7.9,9.9,12.2,6.6,3.1,5.5,8.5
1986,97,92,15.3,9.3,9.4,7.2,3,6.1,1.7,3.7,3,1.9,3.3,2.5,6,8.3,8.4,11.3,5.4,2.8,2.6,7.6
1987,95,85,12.6,10.8,9.5,8.3,8.7,6,6.2,3.6,4.5,4.7,6.9,4.1,5.3,8.6,10.5,11,7.6,4.8,5.3,8.2
1988,101,95,13.3,12.6,10.4,5.2,7.2,8.3,6.2,5.9,5.7,3.5,3.2,5.3,4.8,8.4,8.6,12.1,7,5.9,3.9,7.3
1989,91,82,11.1,10.2,7.4,6.8,5.3,5.5,7.7,7.3,5.5,5.5,6.6,7.8,7.7,8,8.9,9.6,5.9,6.8,6.6,8.2
1990,87,79,17,12,8.7,8.1,6.6,6.3,5.1,5.7,2.5,5.3,8.8,9.9,7.4,9.3,11.2,12.6,7,4.4,7.9,9.3
1991,95,88,15.4,13.7,12,9.9,7.3,6.1,5.7,4.7,4.8,4.3,5.7,2.7,8.3,8,11.7,13.7,7.7,5.1,4.3,9.4
1992,93,86,13.5,10.5,11.4,10.6,7.5,7.3,7.1,4.6,6.5,4.5,5,5.7,8.4,10.5,10.2,11.8,8.4,6.1,5.1,9.7
1993,95,86,14.2,12.3,9.1,11.4,6.1,7,6.6,6.2,4.7,5.4,6.8,6,6.5,5.7,10.3,11.9,8.1,5.8,6.1,7.6
1994,95,92,14.4,16.4,9.5,9,6.3,6.2,5.7,5.5,3.2,5,4.3,4.6,6.6,6.5,8.1,13.4,7.1,4.8,4.6,7.1
1995,95,89,15.1,14.8,9.5,9.7,6.4,7.1,5.5,3.4,4.8,3.9,5.4,5.3,6.2,8.6,10.8,13.1,7.7,4.6,4.9,8.6
1996,99,90,11.8,10.9,8.1,6,6.6,3.6,4.6,6.4,3.2,1.8,5.3,4.3,4.7,7.3,10.7,10.3,5.3,4.7,3.7,7.7
1997,93,84,16.6,10.4,10,5.9,8.9,6.5,5.1,5.7,3.2,4.4,4,5.8,8.7,9.6,9.7,12.3,7.1,4.6,4.6,9.3
1998,90,82,11.6,13.8,13.9,8.6,7.5,7.7,5.3,5.9,3.6,3.9,8.5,9.1,8,9,11.7,13.1,7.9,4.9,7,9.7
1999,91,83,15.8,12,9.7,9.7,8.2,7.2,4.6,5.2,5.4,3.8,4.4,6.1,9.2,11.4,9.2,12.5,8.3,5.1,4.7,9.9
2000,100,93,14.3,12.9,10.8,8.9,6.8,5.3,7.9,7,3.3,4,4,2.7,6.5,6.8,9,12.7,6.9,6,3.6,7.5
2001,92,82,16.4,13.1,10.4,8.4,7.7,5.6,4.9,2.1,4.6,4.6,4.4,7.3,5.8,8.3,11.3,13.3,7.2,3.9,5.3,8.6
2002,86,76,13.5,10.7,10.1,8.6,6.1,5.1,4.2,8.2,5,5.7,4.2,8.9,7.8,11.8,11.2,11.4,6.5,5.7,6.1,10.3
2003,93,86,9.7,9.8,9.1,9.3,6.1,5.6,3.2,4.6,3.8,5.1,5.6,5.8,5.5,6.1,10.2,9.5,6.9,3.9,5.5,7.3
2004,93,83,17.1,13.4,12.8,9.9,6,5.9,5.7,4.3,3.1,4.4,6.5,8.7,5.7,10.5,10.9,14.4,7.2,4.3,6.4,9.1
2005,97,91,15.8,13.4,11.4,10.8,9.5,5.9,4.1,4.6,4.9,4.2,5.8,4.5,6.7,7.1,9.2,13.5,8.6,4.5,4.9,7.7
2006,95,85,15,10.6,9.9,5.9,3,2.9,2.8,5.5,3.8,3.5,5.8,7.6,7.6,6.7,8.2,11.8,3.9,4,5.5,7.5
2007,92,83,15.5,11.7,12.5,7.9,7.6,7.3,5.7,5.6,6.1,6.8,7.1,8.2,8.8,5.2,11.5,13.3,7.6,5.8,7.3,8.6
2008,91,83,15.2,11.2,9.8,7.9,7.5,7.8,5.9,4.5,3.7,3.3,3.3,4.2,6.2,11.6,10.8,12,7.7,4.6,3.6,9.6
2009,94,77,14.6,11.9,9.3,8.2,8.6,6.2,5.2,3.9,6.4,5.6,7.2,7.5,8.2,9.9,8.3,11.9,7.6,5.2,6.7,8.8
2010,90,77,14.2,12.3,10.5,9.3,6.7,5.8,4.4,4.2,5.5,5.2,4.7,11.3,8.5,9.9,7.3,12.3,7.2,4.7,6.8,8.5
2011,96,86,13.1,11.4,10.8,9.8,7.4,5.5,3.2,2.6,2.7,5.6,4.3,9.8,5.1,7.9,7.3,11.8,7.5,2.8,6.3,6.8
2012,99,93,17.1,14,10.3,9.5,6.2,4.2,4.3,4.8,3.4,3.3,3.2,6,9.2,6.7,8.8,13.8,6.5,4.1,4.1,8.3
2013,88,80,13.3,11,9.2,5.1,6.2,5,3.2,4,4.4,5.6,3.5,4.4,8.6,10.3,10.1,11.1,5.4,3.9,4.5,9.7
2014,91,85,15.2,10.4,9,8.5,5.8,4.7,4.7,3.3,5.3,5.1,3.6,6.9,5.6,9.2,11.9,11.5,6.3,4.4,5.1,9
2015,90,85,15.3,10.9,13.2,6.5,4.6,5.6,3.8,5.1,5.7,3.8,5.1,8.5,7.2,10.1,10.8,13.1,5.5,4.9,5.6,9.4
2016,92,82,16.2,15.7,11.5,9.9,9.7,7.5,7.6,5,4.5,4.9,7.9,6.4,10.4,9.2,10.2,14.5,9,5.7,6.4,9.9
2017,96,89,12.1,14.1,11.3,9.9,6.9,7.7,6.9,3.5,4.1,4.6,5.1,5.7,7.2,8.1,9.1,12.5,8.2,4.8,5.1,8.2
2018,86,80,14,10.1,9.6,6.6,4.7,5.4,4.7,5,2.2,2.5,4.3,7,9.4,11,12.3,11.2,5.6,3.9,4.4,10.9
2019,95,85,16.1,13.4,11,11.1,7.1,6.6,5,5.6,4.7,6.4,6,8.8,9.1,8.7,10.9,13.5,8.2,5.1,6.9,9.6
2020,89,81,14.4,12.8,11.6,8,9.1,7.9,7.1,6.8,8.6,4.7,8.5,7.6,9.9,9.9,11.9,12.9,8.3,7.5,6.9,10.6
2021,84,74,13.9,15.2,11.8,9.4,6.3,6,2.9,4.7,7.5,6.5,8.2,8.7,9.7,11.3,13.5,13.6,7.2,5.1,7.7,11.6
